Designator,Mid X,Mid Y,Layer,Rotation
AE1,10.5,-3.5,top,-90
C1,-1.36,4.96,top,180
C2,-4.09,4.95,top,0
C3,-0.11,-1.47,top,90
C4,1.35,4.33,top,-90
C6,-4.88,2.44,top,-90
C8,-4.03,-1.29,top,90
C9,0.63,4.13,top,-90
C10,-5.14,0.81,top,0
C11,10.4,1.03,top,45
C13,9.27,1.11,top,180
C16,-5.49,2.43,top,90
C18,3.299999,2.86,top,90
C20,-1.56,-1.27,top,90
C21,1.49,2.87,top,90
C24,-6.64,-1.89,top,0
C25,-8.559999,-0.270005,top,-90
C27,-7.64,-0.26,top,-90
C30,-6.74,2.75,top,180
C32,-6.53,2.08,top,180
C43,-2.36,-1.26,top,-90
C44,1.19,1.02,top,0
C45,-3.23,-1.29,top,-90
C46,-2.02,-0.04,top,180
C47,-0.799998,-1.28,top,90
C47,-5.13,4.36,top,-90
D2,4.595,0,top,180
J6,9.11,3.77,top,-90
L1,10.76,0.13,top,90
L4,2.419999,2.53,top,180
L5,-8.105001,0.980002,top,0
P1,-12,0,top,-90
R1,-5.14,1.33,top,180
R2,-7.81,-2.75,top,180
R3,0.83,-4.18,top,90
R4,-8.39,1.89,top,0
R5,-8.36,-1.89,top,0
SW3,3.4,-4.24,top,0
U1,-2.215001,2.5,top,180
U2,-5.915,-0.47,top,0
U3,6.04,2.54,top,180
Y1,1.74,-0.55,top,180
